Date,RL-Net (Defensive),RL-Net (Total Return)
2024-06-15,-0.09601248055696487,-0.016947008669376373
2024-06-16,-0.09601248055696487,-0.016947008669376373
2024-06-17,-0.09601248055696487,-0.016947008669376373
2024-06-18,-0.09601248055696487,-0.016947008669376373
2024-06-19,-0.0955127626657486,-0.01745513267815113
2024-06-20,-0.0955127626657486,-0.01745513267815113
2024-06-21,-0.0955127626657486,-0.01745513267815113
2024-06-22,-0.0955127626657486,-0.01745513267815113
2024-06-23,-0.0955127626657486,-0.01745513267815113
2024-06-24,-0.0955127626657486,-0.01745513267815113
2024-06-25,-0.0955127626657486,-0.01745513267815113
2024-06-26,-0.0952439159154892,-0.017702240496873856
2024-06-27,-0.0952439159154892,-0.017702240496873856
2024-06-28,-0.0952439159154892,-0.017702240496873856
2024-06-29,-0.0952439159154892,-0.017702240496873856
2024-06-30,-0.0952439159154892,-0.017702240496873856
2024-07-01,-0.0952439159154892,-0.017702240496873856
2024-07-02,-0.0952439159154892,-0.017702240496873856
2024-07-03,-0.09106390923261642,-0.020026082172989845
2024-07-04,-0.09106390923261642,-0.020026082172989845
2024-07-05,-0.09106390923261642,-0.020026082172989845
2024-07-06,-0.09106390923261642,-0.020026082172989845
2024-07-07,-0.09106390923261642,-0.020026082172989845
2024-07-08,-0.09106390923261642,-0.020026082172989845
2024-07-09,-0.09106390923261642,-0.020026082172989845
2024-07-10,-0.08870217949151993,-0.02150760591030121
2024-07-11,-0.08870217949151993,-0.02150760591030121
2024-07-12,-0.08870217949151993,-0.02150760591030121
2024-07-13,-0.08870217949151993,-0.02150760591030121
2024-07-14,-0.08870217949151993,-0.02150760591030121
2024-07-15,-0.08870217949151993,-0.02150760591030121
2024-07-16,-0.08870217949151993,-0.02150760591030121
2024-07-17,-0.09025290608406067,-0.020262449979782104
2024-07-18,-0.09025290608406067,-0.020262449979782104
2024-07-19,-0.09025290608406067,-0.020262449979782104
2024-07-20,-0.09025290608406067,-0.020262449979782104
2024-07-21,-0.09025290608406067,-0.020262449979782104
2024-07-22,-0.09025290608406067,-0.020262449979782104
2024-07-23,-0.09025290608406067,-0.020262449979782104
2024-07-24,-0.08696389943361282,-0.020607594400644302
2024-07-25,-0.08696389943361282,-0.020607594400644302
2024-07-26,-0.08696389943361282,-0.020607594400644302
2024-07-27,-0.08696389943361282,-0.020607594400644302
2024-07-28,-0.08696389943361282,-0.020607594400644302
2024-07-29,-0.08696389943361282,-0.020607594400644302
2024-07-30,-0.08696389943361282,-0.020607594400644302
2024-07-31,-0.0858246311545372,-0.02091536857187748
2024-08-01,-0.0858246311545372,-0.02091536857187748
2024-08-02,-0.0858246311545372,-0.02091536857187748
2024-08-03,-0.0858246311545372,-0.02091536857187748
2024-08-04,-0.0858246311545372,-0.02091536857187748
2024-08-05,-0.0858246311545372,-0.02091536857187748
2024-08-06,-0.0858246311545372,-0.02091536857187748
2024-08-07,-0.08485649526119232,-0.02210419997572899
2024-08-08,-0.08485649526119232,-0.02210419997572899
2024-08-09,-0.08485649526119232,-0.02210419997572899
2024-08-10,-0.08485649526119232,-0.02210419997572899
2024-08-11,-0.08485649526119232,-0.02210419997572899
2024-08-12,-0.08485649526119232,-0.02210419997572899
2024-08-13,-0.08485649526119232,-0.02210419997572899
2024-08-14,-0.08558346331119537,-0.02048684097826481
2024-08-15,-0.08558346331119537,-0.02048684097826481
2024-08-16,-0.08558346331119537,-0.02048684097826481
2024-08-17,-0.08558346331119537,-0.02048684097826481
2024-08-18,-0.08558346331119537,-0.02048684097826481
2024-08-19,-0.08558346331119537,-0.02048684097826481
2024-08-20,-0.08558346331119537,-0.02048684097826481
2024-08-21,-0.0852476954460144,-0.020482879132032394
2024-08-22,-0.0852476954460144,-0.020482879132032394
