,Classical Markowitz,NW (Gamma=1.0),NW (Gamma=0.0),BTC (Buy & Hold),SAC-Net (Sharpe Incr),SAC-Net (Total Return)
2017-11-21,1.2515712430875128,0.9466093041297616,1.1221245059788838,1.3370604543816014,1.1401598952500749,1.11324589386368
2017-11-22,1.3202099530630729,1.0032535775082354,1.16808073142363,1.366922111568769,1.2076218261196465,1.1780051551904467
2017-11-23,1.3808662422353355,1.1044287774477963,1.223162257390244,1.330880068477528,1.2792798143458226,1.150950823634465
2017-11-24,1.4146188368219843,1.1262344138341802,1.29731664466868,1.365994455772298,1.3021336218707087,1.1678628352769163
2017-11-25,1.425711447683239,1.1414230312959417,1.342065567691147,1.45213261353733,1.3450679645382408,1.2512715341991354
2017-11-26,1.4823407645727347,1.2117799765044772,1.3613948287927475,1.5386428042232039,1.4270458350995465,1.3646274250311907
2017-11-27,1.4783919081877985,1.2152119258004466,1.3911609295923526,1.6170506601475159,1.4306400583835948,1.532592555027143
2017-11-28,1.548451016433303,1.2279296551681347,1.4516240498769468,1.6561748933419593,1.4463419387246503,1.6982813170215172
2017-11-29,1.3738208103944962,1.0962377536167247,1.2745296709539624,1.6279135464563852,1.2904733628910496,1.4700505281704617
2017-11-30,1.4327006982772665,1.1454735108184995,1.3307798870431626,1.683739196215805,1.3482901493334303,1.5844209204828668
2017-12-01,1.468489489274059,1.2041452019616283,1.3970430081246836,1.801597918537919,1.417157323259966,1.7886373453764548
2017-12-02,1.4570139118617313,1.2180978111936025,1.3964529487815702,1.8177754950416707,1.43270952439261,1.893016530580716
2017-12-03,1.4669020774394166,1.2717728581376275,1.4240636433863518,1.8581293347741206,1.4958290976932054,1.8559489208896036
2017-12-04,1.5101925220254826,1.3016014830908513,1.4513164624696564,1.9121457045978876,1.5308994533330837,1.9752231624206775
2017-12-05,1.4956146238508063,1.2727341480095693,1.4367341879759863,1.9542449623313167,1.496944763553477,2.1105770702354785
2017-12-06,1.5879055626546763,1.2917223723084053,1.4564922235453577,2.309378488268477,1.5191778342940416,2.283022088225668
2017-12-07,1.6579100039717027,1.3235138608260986,1.5302423147737496,2.829263358725833,1.5564750535594272,2.1714269600724863
2017-12-08,1.7830810716130736,1.427033257198291,1.6170919636891685,2.61076991698883,1.6782872072856128,2.2877602207924013
2017-12-09,1.7991855580730152,1.4209968766185048,1.6406503555328136,2.3818120694141767,1.6713055476923666,2.238385781602264
2017-12-10,1.7203001187599658,1.3607087484148257,1.570278213080699,2.4249187744542495,1.600417478131699,2.0672118440005924
2017-12-11,1.9749913324116937,1.5605229101369404,1.8266084415024666,2.64687239831098,1.8354332136625173,2.3987760811601633
2017-12-12,2.425200294147842,1.8428373259658497,2.1782815407454117,2.7206303541660954,2.167496572710163,2.7917747448232033
2017-12-13,2.635197661838718,1.9012974058108543,2.2484691409203394,2.558552249403964,2.236254983498103,3.0529370215156026
2017-12-14,3.01670052101775,2.071587033573963,2.335029767647716,2.5827318561997585,2.4367833934515217,3.4456761754745258
2017-12-15,2.9533109950672607,2.080956153502182,2.359987181068918,2.755058829452928,2.447871244964211,3.445500445041741
2017-12-16,3.0339788725291807,2.199097661869349,2.4398800325827867,3.0204446297285426,2.5868709206316685,3.7273390964489925
2017-12-17,3.1211008217211913,2.2319940412774897,2.5797454762792875,2.964690483548409,2.670904941964953,4.051830990731862
2017-12-18,3.338171337152413,2.372961821392381,2.6799941203012176,2.960567340853182,2.8582934820462347,4.385281892468488
2017-12-19,3.646943068587619,2.4671955627150344,2.7491366437177214,2.7457991815347387,2.9888200185330867,4.555221018881853
2017-12-20,3.704479589395927,2.388450557642205,2.5783859465338876,2.561816730253904,2.896644147849478,4.4055406011960985
2017-12-21,3.7517526931005136,2.2553846863416367,2.4791249620909217,2.431958213574427,2.7698853440840807,4.344509113976858
2017-12-22,3.0967460742359534,1.8378298642364514,2.032236518598886,2.107964916066266,2.246520040598889,3.5566819429314958
2017-12-23,3.3718368293839034,2.0025606423492492,2.226585455301504,2.2361772633059944,2.4615736369541565,4.032108227821821
