,Equal Weight,Classical Markowitz,NW (Gamma=1.0),NW (Gamma=0.0),BTC (Buy & Hold),SAC-Net (Excess NW),SAC-Net (Sharpe Incr)
2019-04-17,1.2068446113189066,1.0923475105057525,1.1559517564746686,1.133709821293735,1.2440985763440888,1.155951764693982,1.1526689057337898
2019-04-18,1.23546831641768,1.1237040465764212,1.2177924910372935,1.1859722165475142,1.2550529241579629,1.2177925050475362,1.214334004241579
2019-04-19,1.2443745621537219,1.1375894482632143,1.2643457551838255,1.2260053554978798,1.2563377273092515,1.2643457719746014,1.2607550557359988
2019-04-20,1.2394780361154658,1.1379764403983101,1.2695602136829665,1.235980558381826,1.2643831081221784,1.2695602336891312,1.265954704397731
2019-04-21,1.2008089596317437,1.1082850956648032,1.2267761699869935,1.2077865203717837,1.2588388849137708,1.2267761840147622,1.2232921690349863
2019-04-22,1.2061692045670842,1.1138070795252397,1.2255782696232003,1.212322970506094,1.278774591848387,1.2255782826258073,1.222097670202904
2019-04-23,1.1909225443729468,1.098313930570562,1.1971310825860464,1.1961819445931945,1.3191041740689229,1.1971310868604883,1.193731275155575
2019-04-24,1.1426975974098157,1.0528923614696328,1.1568423735226812,1.1589307918759886,1.2934088866924591,1.156842415246004,1.1535569796027234
2019-04-25,1.094607613967808,1.0126247756535707,1.1058608231180265,1.107362537069392,1.2317638416243264,1.1058608618579937,1.1027202122651782
2019-04-26,1.1152601577358856,1.0353017204304893,1.1316839621240218,1.1311798716524983,1.2479292804631976,1.1316839956861846,1.128470011618499
2019-04-27,1.1102806945306762,1.0282468786116192,1.1233915373104102,1.1239293398749242,1.245312861800209,1.123391572150248,1.1202011409137558
2019-04-28,1.1032919790228441,1.0312581838218515,1.1301036978775325,1.1300305085568776,1.2492890531536653,1.1301037342890077,1.126894235687712
2019-04-29,1.0684075668909108,0.9986239079647669,1.0926294927785134,1.0980040321975708,1.2403250556553087,1.0926295271736333,1.0895264571884338
2019-04-30,1.1270266158907254,1.0408695686196137,1.127047859542304,1.1323270618710097,1.2645221684769898,1.127047893454216,1.123847070801725
2019-05-01,1.1246190465146726,1.040673736052337,1.1241334287868625,1.129487795731433,1.276744995166891,1.1241334584162728,1.1209409100259768
