Date,NW (Gamma=1.0),NW (Gamma=0.0),RL-Net (Defensive),RL-Net (Total Return)
2024-03-04,1.4161682856711424,1.4053345165045177,1.4053345165045177,1.4133165357788993
2024-03-05,1.3242472335735962,1.3095501396191456,1.3095501396191456,1.3221618246855822
2024-03-06,1.3762544789285174,1.3614313456945928,1.3614313456945928,1.3739414229149034
2024-03-07,1.409115609165447,1.3943023757462738,1.3943023757462738,1.4067266421887246
2024-03-08,1.4219169158615776,1.406976609345834,1.406976609345834,1.4195049008136895
2024-03-09,1.424554224499827,1.4096326946642872,1.4096326946642872,1.4221314867505024
2024-03-10,1.4366090180559237,1.4215526324316754,1.4215526324316754,1.434166869921
2024-03-11,1.4683013559981744,1.4537967096847833,1.4537967096847833,1.4657345059288585
2024-03-12,1.457987952104842,1.4432192904401817,1.4432192904401817,1.4554545974265987
2024-03-13,1.507395264408038,1.492387943659974,1.492387943659974,1.5047593233415528
2024-03-14,1.4683811182727793,1.4540496716879623,1.4540496716879623,1.4658133122975177
2024-03-15,1.4602752578461495,1.447328610565938,1.447328610565938,1.4577095570457497
2024-03-16,1.3903906011945089,1.3784268284911056,1.3784268284911056,1.3879461968075837
2024-03-17,1.4096831213716297,1.3973780713670771,1.3973780713670771,1.4072058717446774
2024-03-18,1.3830565748117825,1.3699233923101153,1.3699233923101153,1.380619814250172
2024-03-19,1.2760664709157075,1.2644216364916445,1.2644216364916445,1.2738257424230364
2024-03-20,1.3706127856721269,1.3583397245970819,1.3583397245970819,1.3682069330902302
2024-03-21,1.358700188577245,1.3465964332025526,1.3465964332025526,1.356309560508235
2024-03-22,1.3420691915589684,1.3301785756274922,1.3301785756274922,1.3397015439950848
2024-03-23,1.344020561928204,1.3321155466029009,1.3321155466029009,1.341649156471977
2024-03-24,1.3715808794675792,1.3593735408428367,1.3593735408428367,1.3691662632731296
2024-03-25,1.3992612792479733,1.386750779666937,1.386750779666937,1.3968033457954896
2024-03-26,1.3948271908122347,1.3823359161572488,1.3823359161572488,1.3923789473153234
2024-03-27,1.3845291826477546,1.3721459511364709,1.3721459511364709,1.3820973717779934
2024-03-28,1.4009076702052747,1.388407389823768,1.388407389823768,1.398463873441642
2024-03-29,1.4296529216692295,1.4168893128563531,1.4168893128563531,1.427184365719273
2024-03-30,1.4150591391658986,1.4024273740311952,1.4024273740311952,1.4125995094440815
2024-03-31,1.4387073369976289,1.4259816031033627,1.4259816031033627,1.436287230143215
2024-04-01,1.4029536971391616,1.3905198315538976,1.3905198315538976,1.4005955726798955
2024-04-02,1.3656624342403687,1.3535378702149754,1.3535378702149754,1.3634095096348142
2024-04-03,1.36770748583264,1.3555292368330416,1.3555292368330416,1.3653716581646802
2024-04-04,1.3892833343627407,1.3768865775219148,1.3768865775219148,1.3869510398560052
2024-04-05,1.3815107289061,1.3688944552942428,1.3688944552942428,1.3791900896712255
2024-04-06,1.393431182060996,1.3799517285604022,1.3799517285604022,1.3911334050331583
2024-04-07,1.3990500266122636,1.3854991486889723,1.3854991486889723,1.3967271382947872
2024-04-08,1.4213027027424272,1.4056597442205523,1.4056597442205523,1.4189264278465092
2024-04-09,1.400465948458115,1.386175742303322,1.386175742303322,1.3981103200311156
2024-04-10,1.4098174554517138,1.3967543812070893,1.3967543812070893,1.4073435068923277
2024-04-11,1.4103815483295263,1.3967502832399437,1.3967502832399437,1.4079144191143673
2024-04-12,1.354767622694341,1.3403957943743015,1.3403957943743015,1.3522520288911197
2024-04-13,1.2896135389113805,1.2779533891625292,1.2779533891625292,1.2871482053779253
2024-04-14,1.3144439777949857,1.3031014018904523,1.3031014018904523,1.3119816431010605
2024-04-15,1.2984667324546382,1.286680539299262,1.286680539299262,1.2960324455283627
2024-04-16,1.2965482606075855,1.2854003648329648,1.2854003648329648,1.2941183611914326
2024-04-17,1.282581154567722,1.2715003732890773,1.2715003732890773,1.280158762134871
2024-04-18,1.2973934271604355,1.2865681022208628,1.2865681022208628,1.2949375978286377
2024-04-19,1.3005436615882011,1.2902290130432799,1.2902290130432799,1.2980800984936682
2024-04-20,1.319387619195763,1.309088221551769,1.309088221551769,1.3168998731318533
2024-04-21,1.3210210672916378,1.3098104484851192,1.3098104484851192,1.3185229492679287
2024-04-22,1.3437266549047837,1.3327668570797881,1.3327668570797881,1.3411795432528817
2024-04-23,1.3432008797550894,1.332031168852376,1.332031168852376,1.3406526909572045
2024-04-24,1.3319528945981134,1.3205928754096632,1.3205928754096632,1.3294193271646917
2024-04-25,1.3460364552504225,1.3342647316339296,1.3342647316339296,1.343472812307536
2024-04-26,1.3454439795047783,1.3338033856398768,1.3338033856398768,1.3428858169350801
2024-04-27,1.3459968010055492,1.334369096886722,1.334369096886722,1.3434381528858907
2024-04-28,1.351084507066354,1.3390373407956184,1.3390373407956184,1.3485121304973482
2024-04-29,1.3434253702776842,1.3314548458261217,1.3314548458261217,1.3408709422175615
2024-04-30,1.3237949449226025,1.311949682209117,1.311949682209117,1.321273948829114
2024-05-01,1.311406660730187,1.3004044157247372,1.3004044157247372,1.3089209177249168
2024-05-02,1.3192873447510043,1.3081832777086038,1.3081832777086038,1.3167832256434184
2024-05-03,1.343943819506285,1.3326274712346209,1.3326274712346209,1.3413848216499378
2024-05-04,1.3447886949956374,1.333448772837346,1.333448772837346,1.3422262059557353
2024-05-05,1.344836724623957,1.3334802723511063,1.3334802723511063,1.3422711395573665
2024-05-06,1.3329314869831583,1.3217001650717144,1.3217001650717144,1.3303892989929167
2024-05-07,1.3299570995395402,1.3187686587164602,1.3187686587164602,1.327422226648581
2024-05-08,1.3357830562170645,1.3245685196255332,1.3245685196255332,1.3332326692410652
2024-05-09,1.3546895686055611,1.3426037832172448,1.3426037832172448,1.3520952763123912
2024-05-10,1.3430874488425482,1.3320670596753386,1.3320670596753386,1.3405243183119284
2024-05-11,1.3430691517308306,1.3317954445886184,1.3317954445886184,1.340503685626004
2024-05-12,1.3486839286447987,1.3366960214600385,1.3366960214600385,1.346105086049567
2024-05-13,1.3483153842104412,1.3357133908822667,1.3357133908822667,1.345736139435683
2024-05-14,1.3316376239145342,1.3197645583067952,1.3197645583067952,1.3291034954164427
2024-05-15,1.3586159660135368,1.3455789759227266,1.3455789759227266,1.356014847596254
2024-05-16,1.3459100171140588,1.334934546004009,1.334934546004009,1.343377062126601
2024-05-17,1.371259059046974,1.3467585205631327,1.3467585205631327,1.3683733391411306
2024-05-18,1.3667964541242337,1.3414856751879176,1.3414856751879176,1.363899241893596
2024-05-19,1.3431618252258946,1.3253477727197656,1.3253477727197656,1.3404776214204897
2024-05-20,1.4315203192988535,1.3759699349927654,1.3759699349927654,1.4278188428601597
2024-05-21,1.4399877978278113,1.37953904456287,1.37953904456287,1.4361565313947569
2024-05-22,1.4150151654471412,1.3591610327913497,1.3591610327913497,1.4113333964259627
2024-05-23,1.3904633702608546,1.3350118755057179,1.3350118755057179,1.3868477231842773
2024-05-24,1.3941053429166723,1.3382906167407305,1.3382906167407305,1.3904754640700367
2024-05-25,1.390576619945639,1.334320002195395,1.334320002195395,1.3869526110687287
2024-05-26,1.381177493833475,1.326109296189044,1.326109296189044,1.377585822572014
2024-05-27,1.3840297983986145,1.327992274688736,1.327992274688736,1.380426253185174
2024-05-28,1.3726714587461553,1.317789196054525,1.317789196054525,1.3691030094154264
2024-05-29,1.3715157279102266,1.317156672135949,1.317156672135949,1.367954270383701
2024-05-30,1.3712277460343054,1.3174211599996135,1.3174211599996135,1.367666099677992
2024-05-31,1.3689974960938032,1.3148268246012729,1.3148268246012729,1.365443572967673
2024-06-01,1.37500837203553,1.3203907539569197,1.3203907539569197,1.3714376808716562
2024-06-02,1.3765082194850715,1.3219773177818377,1.3219773177818377,1.3729320381049515
2024-06-03,1.3852228670120215,1.329261824111304,1.329261824111304,1.3816187018024366
2024-06-04,1.4124424087454297,1.3535412411693164,1.3535412411693164,1.4087559214332726
2024-06-05,1.419466347659999,1.3609021642958774,1.3609021642958774,1.415759524159286
2024-06-06,1.4191843597394336,1.351938146798468,1.351938146798468,1.4155839480709238
2024-06-07,1.3861874810821415,1.3020434335932014,1.3020434335932014,1.3829752533742188
2024-06-08,1.3890450322464245,1.2931551252615443,1.2931551252615443,1.3859696558651875
2024-06-09,1.3936102123536172,1.3023705949911477,1.3023705949911477,1.390394690343588
2024-06-10,1.372338873577172,1.2875256947782456,1.2875256947782456,1.3690270107018854
2024-06-11,1.3453053102931039,1.2487332588411333,1.2487332588411333,1.3423995038311094
2024-06-12,1.3595673505599177,1.27042888589888,1.27042888589888,1.3565136692364257
