Date,NW (Gamma=1.0),RL-Net (Defensive),RL-Net (Total Return)
2024-10-09,-0.015000377453903174,-0.015000377453903174,-0.015000377453903174
2024-10-10,0.0005617895365200514,0.0005617895365200514,0.0005617895365200514
2024-10-11,0.017624543998102003,0.017624543998102003,0.017624543998102003
2024-10-12,0.007534514166037247,0.007534514166037247,0.007534514166037247
2024-10-13,-0.010651053964635872,-0.010651053964635872,-0.010651053964635872
2024-10-14,0.04054251061530632,0.04054251061530632,0.04054251061530632
2024-10-15,1.8110458807941293e-05,1.8110458807941293e-05,1.8110458807941293e-05
2024-10-16,0.008457004008968648,0.008457004008968648,0.008457004008968648
2024-10-17,-0.0007577084778830036,-0.0007577084778830036,-0.0007577084778830036
2024-10-18,0.006968707781108086,0.006968707781108086,0.006968707781108086
2024-10-19,0.001761114723645017,0.001761114723645017,0.001761114723645017
2024-10-20,0.009772192572960334,0.009772192572960334,0.009772192572960334
2024-10-21,-0.01681654627927235,-0.01681654627927235,-0.01681654627927235
2024-10-22,-0.008395850456102631,-0.008395850456102631,-0.008395850456102631
2024-10-23,-0.015487185034613556,-0.015487185034613556,-0.015487185034613556
2024-10-24,0.020117974572437212,0.020117974572437212,0.020117974572437212
2024-10-25,-0.03685978482808511,-0.03685978482808511,-0.03685978482808511
2024-10-26,0.008927183420093666,0.008927183420093666,0.008927183420093666
2024-10-27,0.010267032415581662,0.010267032415581662,0.010267032415581662
2024-10-28,0.012219629149231732,0.012219629149231732,0.012219629149231732
2024-10-29,0.0255253950295463,0.0255253950295463,0.0255253950295463
2024-10-30,-0.010869886335479747,-0.010869886335479747,-0.010869886335479747
2024-10-31,-0.02933338898522234,-0.02933338898522234,-0.02933338898522234
2024-11-01,-0.0033011361332042593,-0.0033011361332042593,-0.0033011361332042593
2024-11-02,-0.005748974241284457,-0.005748974241284457,-0.005748974241284457
2024-11-03,-0.017956801368979515,-0.017956801368979515,-0.017956801368979515
2024-11-04,-0.012893451643663713,-0.012893451643663713,-0.012893451643663713
2024-11-05,0.016255033889262055,0.016255033889262055,0.016255033889262055
2024-11-06,0.061132147021873126,0.061132147021873126,0.061132147021873126
2024-11-07,0.016155486364405766,0.016155486364405766,0.016155486364405766
2024-11-08,0.0061977089628163645,0.0061977089628163645,0.0061977089628163645
2024-11-09,0.024444224105288827,0.024444224105288827,0.024444224105288827
2024-11-10,0.04847495617244827,0.04847495617244827,0.04847495617244827
2024-11-11,0.04545570600363473,0.04545570600363473,0.04545570600363473
2024-11-12,0.017288334842424535,0.017288334842424535,0.017288334842424535
2024-11-13,-0.0223752986368781,-0.0223752986368781,-0.0223752986368781
2024-11-14,0.01032242063717448,0.01032242063717448,0.01032242063717448
2024-11-15,0.050481894353860565,0.050481894353860565,0.050481894353860565
2024-11-16,0.10323272465796607,0.10323272465796607,0.10323272465796607
2024-11-17,-0.04487277403187158,-0.04487277403187158,-0.04487277403187158
2024-11-18,0.04621215073990332,0.04621215073990332,0.04621215073990332
2024-11-19,-0.012417944195497771,-0.012417944195497771,-0.012417944195497771
2024-11-20,-0.006833436370749019,-0.006833436370749019,-0.006833436370749019
